;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;masculino;comercio;fabrica de ;prado;3;10.0;13/07/2018;5000000;microempresarial
1;femenino;servicio;recreativo-educativo;barrio caicedo;1;9.0;30/10/2017;6000000;microempresarial
2;femenino;comercio;tienda;aranjuez;02;4.0;3/08/2017;7300000;microempresarial
3;Masculino;comercio;variedades;cabecera san cristobal;3;60.0;20/11/2017;7000000;microempresarial
4;femenino;comercio;fabrica de ;robledo;2;7.0;23/02/2017;5000000;microempresarial
5;femenino;comercio;variedades;picachito;1;6.0;2017/05/31;7000000;microempresarial
6;femenino;industria;fabrica de ;guayabal;3;15.0;20/02/2016;$ 2,000,000.00;microempresarial
7;femenino;comercio;tienda;carpinelo;1;1.0;14/02/2017;3300000;microempresarial
8;masculino;comercio;variedades;belalcazar;2;5.0;7/05/2018;7800000;microempresarial
9;femenino;comercio;variedades;manrique central no. 1;1;4.0;2018/05/3;7800000;microempresarial
10;femenino;industria;fabrica de ;manrique central no. 2;2;3.0;28/02/2017;4500000;microempresarial
11;masculino;agropecuaria;sembrados;santa elena central;2;90.0;23/12/2016;13000000;agropecuaria
12;femenino;comercio;comidas rapidas;andalucia;2;2.0;12/04/2018;7800000;microempresarial
13;masculino;industria;fabrica de ;san javier no.1;1;13.0;23/08/2018;4000000;microempresarial
14;masculino;servicio;variedades;belencito;2;13.0;30/07/2018;7800000;microempresarial
15;masculino;comercio;miscelanea;centro admtivo;3;10.0;14/02/2018;1000000;microempresarial
16;femenino;comercio;variedades;cabecera san antonio ;02;80.0;16/11/2017;7000000;microempresarial
17;femenino;servicio;cafe e internet;manrique central no. 1;3;4.0;29/04/2019;8000000;microempresarial
18;masculino;comercio;tienda;villa hermosa;3;8.0;27/06/2018;5000000;microempresarial
19;femenino;comercio;venta de calzado;playon de los ;2;2.0;27/02/2017;7000000;microempresarial
20;femenino;comercio;productos de belleza;buenos aires;3;9.0;24/07/2017;7300000;microempresarial
21;masculino;comercio;tienda;manrique central no. 1;2;4.0;14/09/2018;6000000;microempresarial
22;Femenino;comercio;tienda;popular;2;1.0;11/10/2018;6000000;microempresarial
23;femenino;comercio;almacen de ropa en ;robledo;2;7.0;15/02/2018;6000000;microempresarial
24;FEMENINO;comercio;variedades;tricentenario;3;5.0;20/11/2017;4000000;microempresarial
25;masculino;servicio;barberia;calasanz;02;12.0;26/09/2017;7377000;microempresarial
26;masculino;industria;fabrica de ;aranjuez;3;4.0;24/10/2016;$ 6,500,000.00;Microempresarial
27;femenino;comercio;comidas_rapidas;buenos aires;2;9.0;28/06/2019;1500000;microempresarial
28;masculino;comercio;variedades;andalucia;2;2.0;17/08/2018;7800000;microempresarial
29;femenino;servicio;peluqueria;pedregal;3;6.0;27/10/2017;7300000;microempresarial
30;femenino;servicio;jardineria;la francia;02;2.0;12/06/2017;7377000;microempresarial
31;femenino;comercio;variedades;santa cruz;2;2.0;14/06/2017;4000000;microempresarial
32;femenino;comercio;tienda;san javier no.1;2;13.0;6/02/2018;7800000;microempresarial
33;femenino;comercio;variedades;LA FLORESTA;3;12.0;5/09/2017;7300000;microempresarial
34;femenino;comercio;VARIEDADES;belen;3;16.0;16/09/2016;6890000;microempresarial
35;masculino;comercio;tienda;las brisas;3;5.0;2018/01/15;6000000;microempresarial
36;femenino;comercio;peluqueria;castilla;3;5.0;11/08/2017;2500000;microempresarial
37;masculino;industria;fabrica de alimentos;san javier no.1;2;13.0;27/10/2016;$ 6,800,000.00;microempresarial
38;femenino;comercio;almacen de ropa en ;cabecera san antonio ;2;80.0;22/09/2016;4000000;Microempresarial
