raw_text,cleaned_text
Analytics Application,Analytics Application
Analytics Application.,Analytics Application
Analytics Applications,Analytics Application
ANALYTICS MODEL,ANALYTICS MODEL
ANALYTIC MODEL,ANALYTICS MODEL
ANALYTIC APPLICATIONS,Analytics Application
ANALYTICAL MODEL,ANALYTICS MODEL
ANALYTICAL MODELS,ANALYTICS MODEL
ADHOC QUERIES,ADHOC QUERIES
AD-HOC QUERYING,ADHOC QUERIES
AGRICULTURAL PRODUCTS,AGRICULTURAL PRODUCTS
AGRICULTURAL PRODUCTIVITY,AGRICULTURAL PRODUCTS
AGRICULTURAL PRODUCTS,AGRICULTURAL PRODUCTS
AIRLINE COMPANY,AIRLINE COMPANY
AIRLINES COMPANY,AIRLINE COMPANY
AIRLINE COMPANIES,AIRLINE COMPANY
AIRLINE COMPANY,AIRLINE COMPANY
AIRLINES,AIRLINES
ANALYTICAL APPLICATIONS,Analytics Application
ANALYTICS APPLICATION,Analytics Application
ANALYTICS  APPLICATIONS,Analytics Application
ANALYTIC MODELING,ANALYTICS MODEL
ANALYTIC MODELS,ANALYTICS MODEL
ADHOC  QUERY,ADHOC QUERIES
AD-HOC QUERIES,ADHOC QUERIES
AD-HOC QUERY,ADHOC QUERIES
analytic model,ANALYTICS MODEL
analytic applications,Analytics Application
analytical model,ANALYTICS MODEL
analytical models,ANALYTICS MODEL
adhoc queries,ADHOC QUERIES
Analytical Applications,Analytics Application
Analytic Modeling,ANALYTICS MODEL
AGRICULTURAL PRODUCTION,AGRICULTURAL PRODUCTS
AGRICULTURAL PRODUCTIONS,AGRICULTURAL PRODUCTS
