raw_text,cleaned_text
Analytics Application,ANALYTICS APPLICATION
Analytics Application.,ANALYTICS APPLICATION
Analytics Applications,ANALYTICS  APPLICATIONS
ANALYTICS MODEL,ANALYTICS MODEL
ANALYTIC MODEL,ANALYTIC MODEL
ANALYTIC APPLICATIONS,ANALYTIC APPLICATIONS
ANALYTICAL MODEL,ANALYTICAL MODEL
ANALYTICAL MODELS,ANALYTICAL MODELS
ADHOC QUERIES,AD-HOC QUERIES
AD-HOC QUERYING,AD-HOC QUERYING
AGRICULTURAL PRODUCTS,AGRICULTURAL PRODUCTS
AGRICULTURAL PRODUCTIVITY,AGRICULTURAL PRODUCTIVITY
AGRICULTURAL PRODUCTS,AGRICULTURAL PRODUCTS
AIRLINE COMPANY,AIRLINE COMPANY
AIRLINES COMPANY,AIRLINES COMPANY
AIRLINE COMPANIES,AIRLINE COMPANIES
AIRLINE COMPANY,AIRLINE COMPANY
AIRLINES,AIRLINES
ANALYTICAL APPLICATIONS,ANALYTICAL APPLICATIONS
ANALYTICS APPLICATION,ANALYTICS APPLICATION
ANALYTICS  APPLICATIONS,ANALYTICS  APPLICATIONS
ANALYTIC MODELING,ANALYTIC MODELING
ANALYTIC MODELS,ANALYTIC MODELS
ADHOC  QUERY,AD-HOC QUERY
AD-HOC QUERIES,AD-HOC QUERIES
AD-HOC QUERY,AD-HOC QUERY
analytic model,ANALYTIC MODEL
analytic applications,ANALYTIC APPLICATIONS
analytical model,ANALYTICAL MODEL
analytical models,ANALYTICAL MODELS
adhoc queries,AD-HOC QUERIES
Analytical Applications,ANALYTICAL APPLICATIONS
Analytic Modeling,ANALYTIC MODELING
AGRICULTURAL PRODUCTION,AGRICULTURAL PRODUCTION
AGRICULTURAL PRODUCTIONS,AGRICULTURAL PRODUCTIONS
